73,79,271,169,361,367,175,265
361,363,369,375,373,367
175,181,373,367
104,106,196,194
44,46,64,106,104,62
64,65,107,197,196,106
104,106,298,296
4,10,202,100,292,298,106,196
64,106,298,256
72,73,123,149,148,122
148,149,341,340
123,149,341,315
72,122,314,264
72,73,265,264
148,149,251,305,304,250
123,149,251,225
72,78,132,230,224,122
72,73,79,78
53,59,251,149,341,347,155,245
72,78,270,168,360,366,174,264
360,362,368,374,372,366
174,180,372,366
360,361,367,366
174,175,367,366
366,367,373,379,378,372
